sRNA	plotname	value	regular 2.1	ultra-clean 1.1	ultra-clean 1.2	regular 2.2	ultra-clean 2.1	ultra-clean 2.2
alg	sRNA 1	mean	6015.809	80.52416428	9.21709161	1356.674908	7.763009714	20.79388343
3869	sRNA 5	mean	1570.004255	4.401065498	243.3861867	385.5815328	1.307183499	6.645093499
3378	sRNA 6	mean	2545.196026	45.00893346	27.03241272	731.6727504	45.12669885	35.674777
8182	sRNA 3	mean	74425.69075	390.5702147	4.742252041	479.9951276	0.743921654	26.06089156
6848	sRNA 4	mean	804.3429181	252.9895518	142.9384151	1752.160744	21.30820004	25.07900885
8030	sRNA 2	mean	302.7535945	61.39838529	266.3450798	251.3893385	42.25143207	56.82413166
alg	sRNA 1	sd	2054.622372	38.42450673	8.418276091	2082.900588	4.796834696	18.62224226
3869	sRNA 5	sd	433.9474943	4.977552392	485.0762761	272.0424869	1.109544142	10.57109372
3378	sRNA 6	sd	773.9466005	27.94726195	16.98999432	551.0738185	41.02835939	22.73596885
8182	sRNA 3	sd	23960.5945	418.0477768	7.630754165	159.8301479	1.487843307	36.80742224
6848	sRNA 4	sd	708.3882754	488.4724756	120.5642969	1259.933942	23.07334648	34.58863033
8030	sRNA 2	sd	141.5047573	11.10629065	332.178965	129.0085733	21.61867039	27.98915975
