Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSample_s	Center_Name_s	Experiment_s	Instrument_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Platform_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	gender_s	source_s	source_name_s	strain_s	tissue_s	AssemblyName_s	Consent_s	InsertSize_l	LibraryLayout_s
miRNA-Seq	51	PRJEB6683	SAMEA2629445	TUM_PLANT_BREEDING	ERX517254	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	471	269	Bos taurus	ILLUMINA	11.07.14	ERR558185	ERS499288	ERP006244	Sample1							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629446	TUM_PLANT_BREEDING	ERX517255	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	466	267	Bos taurus	ILLUMINA	11.07.14	ERR558186	ERS499289	ERP006244	Sample2							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629447	TUM_PLANT_BREEDING	ERX517256	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	879	503	Bos taurus	ILLUMINA	11.07.14	ERR558187	ERS499290	ERP006244	Sample3							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629448	TUM_PLANT_BREEDING	ERX517257	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	545	316	Bos taurus	ILLUMINA	11.07.14	ERR558188	ERS499291	ERP006244	Sample4							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629449	TUM_PLANT_BREEDING	ERX517258	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	447	259	Bos taurus	ILLUMINA	11.07.14	ERR558189	ERS499292	ERP006244	Sample5							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629450	TUM_PLANT_BREEDING	ERX517259	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	634	358	Bos taurus	ILLUMINA	11.07.14	ERR558190	ERS499293	ERP006244	Sample6							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629451	TUM_PLANT_BREEDING	ERX517260	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	480	273	Bos taurus	ILLUMINA	11.07.14	ERR558191	ERS499294	ERP006244	Sample7							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629452	TUM_PLANT_BREEDING	ERX517261	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	432	247	Bos taurus	ILLUMINA	11.07.14	ERR558192	ERS499295	ERP006244	Sample8							public	0	SINGLE
miRNA-Seq	51	PRJEB6683	SAMEA2629453	TUM_PLANT_BREEDING	ERX517262	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC	unspecified	11.07.14	221	126	Bos taurus	ILLUMINA	11.07.14	ERR558193	ERS499296	ERP006244	Sample9							public	0	SINGLE
OTHER	35	PRJNA112823	SAMN00002128	GEO	SRX003173	Illumina Genome Analyzer	other	OTHER	Locusta migratoria gregarious sRNA	26.05.14	127	90	Locusta migratoria	ILLUMINA	14.05.09	SRR014351	SRS002310	SRP000633	GSM317268					whole body except midgut		public	0	SINGLE
