	mean neg	sd meg	regular 2 45	regular 2 100	regular 2 223	regular 2 500	regular 2 1115	regular 2 100 sd	regular 3 45	regular 3 100	regular 3 223	regular 3 500	regular 3 1115	regular 3 100 sd	ucp 1 45	ucp 1 100	ucp 1 223	ucp 1 500	ucp 1 1115	ucp 1 100 sd	ucp 3 45	ucp 3 100	ucp 3 223	ucp 3 500	ucp 3 1115	ucp 3 100 sd
read 1	0.1322263	0.5337962	0.0000000	0.1088513	0.0000000	3.5911374	1.3964600	0.1885360	0.0000000	0.9738425	0.0000000	1.0060113	2.7869379	1.6867447	0.0000000	0.7988627	5.1463612	0.0000000	1.5102323	1.3836707	0.886798	1.766497	0.000000	1.471196	0.297314	1.580157
read 2	0.1794896	0.7183438	0.0000000	1.4866520	0.0000000	0.0000000	0.0000000	2.5749568	0.0000000	1.1699550	31.8192070	0.0000000	0.0000000	2.0264215	3.4797415	1.9453702	0.0000000	0.0000000	0.0000000	2.0478264	7.685579	1.240703	0.000000	0.000000	0.000000	2.148961
read 3	0.0000000	0.0000000	0.0000000	5.6834580	17.3581146	4.1436201	1.3964600	4.1044362	1.8974422	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	47.000274	0.451165	4.841557	0.882717	0.000000	0.781440
read 4	0.0000000	0.0000000	0.0000000	2.3361213	0.0000000	0.0000000	0.0000000	1.1709231	17.0769795	0.0000000	16.8454625	0.0000000	0.0000000	0.0000000	0.0000000	1.0618675	0.0000000	0.0000000	0.0000000	1.0487626	4.729587	2.322753	0.000000	0.000000	0.000000	0.610518
read 5	0.0000000	0.0000000	0.0000000	0.7320045	0.0000000	1.1049654	0.5585840	0.6448864	0.0000000	1.6555322	0.0000000	1.3413483	0.3483672	2.8674660	0.0000000	0.0000000	4.1170890	0.6219426	1.5102323	0.0000000	0.000000	0.939221	0.000000	1.176957	1.189258	1.626778
read 6	0.0000000	0.0000000	0.0000000	0.9994484	2.6200928	0.0000000	0.5585840	0.6491015	0.0000000	1.3642755	0.0000000	3.0180338	3.1353051	1.2174054	0.0000000	0.0000000	0.0000000	0.0000000	0.6040929	0.0000000	1.182397	0.451165	0.000000	0.588478	0.594629	0.781440
read 7	0.0000000	0.0000000	0.0000000	1.8994143	0.0000000	3.3148961	2.5136281	1.6968309	0.0000000	2.4275537	0.0000000	2.0120225	1.7418362	2.1453782	0.0000000	0.5442940	0.0000000	3.1097128	3.6245575	0.9427448	0.000000	2.629818	0.000000	3.825109	0.891943	4.554978
read 8	0.0392993	0.1735149	0.0000000	1.1851391	0.0000000	0.8287240	0.5585840	1.7136243	1.3553158	7.0882853	0.0000000	0.3353371	2.4385707	5.2619859	0.0000000	3.8690310	0.0000000	0.0000000	0.9061394	1.0537683	0.000000	3.202067	0.000000	0.588478	1.486572	1.099183
read 9	0.0000000	0.0000000	0.0000000	3.1264805	0.0000000	0.0000000	0.0000000	0.7885914	0.0000000	1.2659952	0.0000000	0.0000000	0.0000000	2.1927681	5.7995692	2.8402490	0.0000000	0.0000000	0.0000000	3.4808473	0.000000	3.867445	0.000000	0.000000	0.000000	4.642879
read 10	0.0093685	0.0538182	0.0000000	1.7343094	0.0000000	0.0000000	0.0000000	1.6334675	3.5238212	0.0974962	17.7813216	0.0000000	0.0000000	0.1688685	0.0000000	3.5308868	0.0000000	0.0000000	0.0000000	4.5663219	0.000000	2.743033	0.000000	0.000000	0.000000	3.160302
read 11	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	1.6574480	0.0000000	0.0000000	0.0000000	2.3372220	0.0000000	1.3413483	0.3483672	4.0481872	3.1897631	2.5367291	3.6024529	3.4206841	1.2081858	2.1968774	0.000000	3.212812	10.893503	0.000000	0.000000	2.782530
read 12	0.0643531	0.3696806	1.4035580	0.1351502	0.0000000	0.0000000	1.1171680	0.2340870	0.0000000	0.9738425	0.0000000	0.6706742	0.3483672	1.6867447	1.7398708	1.0815059	3.0878167	0.0000000	0.3020465	1.0280989	0.000000	0.939221	0.000000	0.882717	1.486572	1.626778
read 13	0.0146253	0.0840161	2.1053370	0.6757509	0.0000000	0.0000000	0.0000000	1.1704349	4.3370107	4.1798549	0.0000000	1.3413483	1.7418362	1.6013445	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
read 14	0.0000000	0.0000000	2.4562265	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.6923265	1.0656855	0.0000000	0.0000000	0.0000000	1.8458214	7.2494615	3.2847542	0.0000000	0.0000000	0.0000000	3.1411934	4.729587	2.254129	0.000000	0.000000	0.000000	3.904267
read 15	0.0380984	0.2188589	0.0000000	2.6691877	0.0000000	0.2762413	1.3964600	2.4460225	0.0000000	1.6504947	0.0000000	0.0000000	2.0902034	1.4928425	1.1599138	1.3439784	0.0000000	1.8658277	2.1143252	1.6713984	0.000000	0.538712	0.000000	2.353913	0.891943	0.933077
read 16	0.1189546	0.4926953	0.0000000	2.3033101	0.0000000	1.1049654	0.0000000	2.2335924	1.6263790	5.7370512	0.0000000	2.0120225	0.0000000	4.8396889	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
read 17	0.0368414	0.2116374	0.0000000	1.5942455	0.0000000	0.2762413	0.0000000	1.5753367	0.0000000	4.3714331	0.0000000	2.0120225	0.0000000	2.2599442	0.0000000	0.0000000	4.6317251	0.0000000	0.0000000	0.0000000	0.000000	1.964184	0.000000	0.000000	0.000000	2.114295
read 18	0.1316279	0.7561449	0.0000000	1.9593238	0.0000000	0.0000000	1.3964600	3.3936483	5.1502002	5.0572654	0.0000000	3.0180338	1.3934690	1.1818165	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
read 19	0.0773659	0.3491579	0.0000000	3.7790861	0.0000000	0.0000000	0.0000000	3.9260962	0.0000000	1.1699550	0.0000000	0.0000000	0.0000000	2.0264215	0.0000000	4.1259602	6.4329515	0.0000000	0.0000000	3.5895720	26.603929	0.000000	9.077919	0.000000	0.000000	0.000000
read 20	0.1413085	0.5960538	1.0526685	12.5308753	0.0000000	0.5524827	0.0000000	2.9838826	0.0000000	1.2659952	0.0000000	0.0000000	0.0000000	2.1927681	4.6396554	2.4729077	0.0000000	0.3109713	0.0000000	2.4847840	0.000000	2.192842	0.000000	0.000000	0.000000	1.981633
