#	alg	alg	alg	alg	alg	alg	8030	8030	8030	8030	8030	8030	8182	8182	8182	8182	8182	8182	6848	6848	6848	6848	6848	6848	3869	3869	3869	3869	3869	3869	3378	3378	3378	3378	3378	3378
sRNA	sRNA1.regular 2.1	sRNA1.ultra-clean 1.1	sRNA1.ultra-clean 1.2	sRNA1.regular 2.2	sRNA1.ultra-clean 2.1	sRNA1.ultra-clean 2.2	sRNA2.regular 2.1	sRNA2.ultra-clean 1.1	sRNA2.ultra-clean 1.2	sRNA2.regular 2.2	sRNA2.ultra-clean 2.1	sRNA2.ultra-clean 2.2	sRNA3.regular 2.1	sRNA3.ultra-clean 1.1	sRNA3.ultra-clean 1.2	sRNA3.regular 2.2	sRNA3.ultra-clean 2.1	sRNA3.ultra-clean 2.2	sRNA4.regular 2.1	sRNA4.ultra-clean 1.1	sRNA4.ultra-clean 1.2	sRNA4.regular 2.2	sRNA4.ultra-clean 2.1	sRNA4.ultra-clean 2.2	sRNA5.regular 2.1	sRNA5.ultra-clean 1.1	sRNA5.ultra-clean 1.2	sRNA5.regular 2.2	sRNA5.ultra-clean 2.1	sRNA5.ultra-clean 2.2	sRNA6.regular 2.1	sRNA6.ultra-clean 1.1	sRNA6.ultra-clean 1.2	sRNA6.regular 2.2	sRNA6.ultra-clean 2.1	sRNA6.ultra-clean 2.2
unmapped.ct	543	0	32	44	0	0	4	0	102	20	0	0	5991	34	0	29	0	0	0	0	0	0	0	0	93	10	6	2	31	53	6	0	0	0	0	0
2mm.ct	709	32	37	33	0	0	10	0	203	81	0	0	2720	0	0	45	0	0	13	0	100	32	0	0	45	6	0	10	17	0	0	0	0	0	0	0
1mm.ct	791	82	61	89	101	0	24	0	433	124	0	0	3815	0	0	72	0	0	0	0	0	0	0	0	11	0	18	0	0	34	26	0	0	7	0	0
perfect.ct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mmSalmonella.ct	834	236	94	187	26	0	0	0	780	206	0	0	568	0	0	47	0	0	5	0	406	103	0	0	47	19	0	17	0	0	18	15	0	52	0	0
1mmSalmonella.ct	0	0	0	9	0	0	0	0	100	86	0	0	50	0	0	0	0	0	0	0	203	69	0	0	0	0	0	0	0	0	3	12	13	14	24	0
perfectSalmonella.ct	0	0	0	0	0	0	0	0	0	0	0	0	28	12	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sum.ct	2877	350	224	362	127	0	38	0	1618	517	0	0	13172	46	0	212	0	0	18	0	709	204	0	0	196	35	24	29	48	87	53	27	13	73	24	0
miR486	495	4378	1633	632	915	1882	495	4378	1633	632	915	1882	495	4378	1633	632	915	1882	495	4378	1633	632	915	1882	495	4378	1633	632	915	1882	495	4378	1633	632	915	1882
unmapped.mol	43879	0	784	2785	0	0	323	0	2498	1266	0	0	484121	311	0	1835	0	0	0	0	0	0	0	0	7515	91	147	127	1355	1126	485	0	0	0	0	0
2mm.mol	57293	292	906	2089	0	0	808	0	4972	5127	0	0	219798	0	0	2848	0	0	1051	0	2449	2025	0	0	3636	55	0	633	743	0	0	0	0	0	0	0
1mm.mol	63919	749	1494	5633	4415	0	1939	0	10606	7848	0	0	308283	0	0	4557	0	0	0	0	0	0	0	0	889	0	441	0	0	723	2101	0	0	443	0	0
perfect.mol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mmSalmonella.mol	67394	2156	2303	11835	1137	0	0	0	19106	13038	0	0	45899	0	0	2975	0	0	404	0	9945	6519	0	0	3798	174	0	1076	0	0	1455	137	0	3291	0	0
1mmSalmonella.mol	0	0	0	570	0	0	0	0	2449	5443	0	0	4040	0	0	0	0	0	0	0	4972	4367	0	0	0	0	0	0	0	0	242	110	318	886	1049	0
perfectSalmonella.mol	0	0	0	0	0	0	0	0	0	0	0	0	2263	110	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sum.mol	232485	3198	5487	22911	5552	0	3071	0	39633	32722	0	0	1064404	420	0	13418	0	0	1455	0	17367	12911	0	0	15838	320	588	1835	2098	1849	4283	247	318	4620	1049	0
