	3378	8030	alg	3869	8182	6848	sum
ERR558185	48	61	0	30	3	0	142
ERR558186	32	23	0	27	0	0	82
ERR558187	14	31	0	9	0	0	54
ERR558188	39	69	0	11	0	0	119
ERR558189	55	33	2	25	2	0	117
ERR558190	2	23	0	6	0	0	31
ERR558191	27	62	0	13	6	2	110
ERR558192	11	27	0	8	0	0	46
ERR558193	41	24	0	29	0	0	94
SM11	0	0	5	0	0	0	5
SM12	4860	43369	1821	98	62	1616	51826
SM13	4210	42446	1885	77	132	1531	50281
SM2	1549	10883	500	23	26	337	13318
SM3	1763	13999	834	15	50	543	17204
SM6	1730	12622	731	24	42	460	15609
SM7	1989	26326	826	31	33	879	30084
SM8	3063	26842	1022	47	53	794	31821
SRR029123	0	0	0	0	0	0	0
SRR032476	0	0	0	0	0	0	0
SRR032477	0	0	0	0	0	0	0
SRR039190	0	0	0	0	0	0	0
SRR039191	0	0	0	0	0	0	0
SRR039634	34	0	0	19	0	0	53
SRR042443	0	0	0	0	0	0	0
SRR042444	0	0	0	0	0	0	0
SRR042459	0	0	0	0	0	0	0
SRR042463	0	0	0	0	0	0	0
SRR042471	0	0	0	2	0	0	2
SRR042477	0	0	0	0	0	0	0
SRR042480	0	0	0	0	0	0	0
SRR042481	0	0	0	0	0	0	0
SRR042482	0	0	0	0	0	0	0
SRR042483	0	0	0	0	0	0	0
SRR042484	0	0	0	0	0	0	0
SRR080697	2	0	0	0	0	0	2
SRR080698	0	4	0	0	0	0	4
SRR080699	0	0	0	6	0	0	6
SRR080700	11	0	0	0	2	0	13
SRR080701	4	0	0	0	3	0	7
SRR080702	0	0	0	0	0	0	0
SRR1042915	0	0	32	7	0	0	39
SRR1042916	6	222	12	2	4	42	288
SRR1042917	139	1939	178	31	109	560	2956
SRR1658345	6	100	0	0	0	34	140
SRR1658346	2	33	0	0	0	0	35
SRR1658347	0	67	0	0	0	10	77
SRR1658348	0	91	2	0	2	17	112
SRR1658349	0	47	0	0	0	9	56
SRR1658350	2	34	0	0	0	8	44
SRR1658351	0	86	2	0	0	10	98
SRR1658352	2	125	0	0	0	35	162
SRR1658353	0	35	2	0	0	2	39
SRR1658354	0	59	0	0	0	8	67
SRR1658355	0	51	0	4	0	7	62
SRR1658356	0	42	2	0	0	12	56
SRR1658357	0	32	2	0	0	18	52
SRR1658358	0	172	0	0	0	25	197
SRR1658359	2	59	0	0	0	19	80
SRR1658360	8	90	2	0	0	29	129
SRR309288	5	0	0	0	0	0	5
SRR309289	0	0	0	0	0	0	0
SRR324705	0	2	0	0	0	0	2
SRR324706	0	0	0	0	0	0	0
SRR804662	8	439	380	81	182	6	1096
SRR804663	4	264	248	60	116	0	692
SRR804664	4	418	563	72	180	18	1255
SRR804665	6	375	532	66	150	10	1139
SRR804666	0	8	12	2	8	0	30
SRR804667	174	965	1886	346	91	29	3491
SRR804668	169	919	1907	346	82	23	3446
SRR804669	178	1049	1705	337	74	30	3373
SRR804670	186	933	1778	346	57	26	3326
SRR804671	2	4	14	0	0	0	20
SRR804672	46	1199	3390	400	179	104	5318
SRR804673	10	291	940	106	46	27	1420
SRR804674	27	829	4498	239	189	56	5838
SRR804675	8	328	953	110	67	4	1470
SRR804676	18	853	302	74	479	5	1731
SRR804677	19	836	317	78	401	6	1657
SRR804678	102	1515	3631	178	553	46	6025
SRR804679	43	884	2082	100	321	19	3449
SRR804680	1372	3064	4170	496	404	81	9587
SRR804681	1150	2443	3515	417	320	59	7904
SRR804682	1368	3168	4233	524	413	90	9796
SRR804683	1426	3130	4171	520	422	81	9750
SRR804684	77	148	250	20	17	0	512
SRR804685	2	62	194	19	105	0	382
SRR804686	2	39	221	12	95	2	371
SRR804687	0	10	41	0	22	0	73
SRR804688	5	148	616	85	259	8	1121
SRR804689	0	58	250	29	92	0	429
SRR804690	234	1043	3241	679	178	19	5394
SRR804691	233	1063	3170	719	185	29	5399
SRR804692	78	373	1200	240	65	6	1962
SRR804693	139	792	2493	559	86	5	4074
SRR804694	100	565	1782	418	61	15	2941
SRR886747	0	0	0	0	0	0	0
SRR947051	2	0	9	0	7	0	18
SRR947052	2	2	2	0	2	0	8
SRR947053	3	0	7	2	7	0	19
