sRNA	plotname	value	regular 2.1	ultra-clean 1.1	regular 2.2	ultra-clean 2.1
alg	sRNA 1	0	80	0	67	0
8030	sRNA 2	0	1524	0	187	0
8182	sRNA 3	0	1837	121	0	0
6848	sRNA 4	0	278	0	22	0
3869	sRNA 5	0	36	175	22	0
3378	sRNA 6	0	31	190	193	140
alg	sRNA 1	45	102	5	50	0
8030	sRNA 2	45	2	0	47	0
8182	sRNA 3	45	1764	30	18	16
6848	sRNA 4	45	2	0	8	0
3869	sRNA 5	45	49	1	0	9
3378	sRNA 6	45	14	28	76	49
alg	sRNA 1	100	118	0	12	0
8030	sRNA 2	100	20	0	72	0
8182	sRNA 3	100	1493	8	49	0
6848	sRNA 4	100	6	0	7	0
3869	sRNA 5	100	20	4	9	4
3378	sRNA 6	100	12	24	63	37
alg	sRNA 1	223	96	0		
8030	sRNA 2	223	0	0		
8182	sRNA 3	223	2003	0		
6848	sRNA 4	223	0	0		
3869	sRNA 5	223	76	5		
3378	sRNA 6	223	24	19		
alg	sRNA 1	500	25	0	0	1
8030	sRNA 2	500	86	0	1	0
8182	sRNA 3	500	650	0	8	0
6848	sRNA 4	500	13	0	0	0
3869	sRNA 5	500	9	0	0	37
3378	sRNA 6	500	4	2	5	1
alg	sRNA 1	1115	23	0	2	1
8030	sRNA 2	1115	10	0	0	0
8182	sRNA 3	1115	301	0	4	0
6848	sRNA 4	1115	0	0	0	0
3869	sRNA 5	1115	12	2	0	0
3378	sRNA 6	1115	3	1	1	1
